"","PlayerID","Season","Played","Started","Week","Opponent","TeamHasPossession","TeamIsHome","Result","HomeScore","AwayScore","Quarter","QuarterDisplay","IsGameOver","GameDate","ScoreSummary","PassingCompletions","PassingAttempts","PassingCompletionPercentage","PassingYards","PassingYardsPerAttempt","PassingTouchdowns","PassingInterceptions","PassingRating","RushingAttempts","RushingYards","RushingYardsPerAttempt","RushingTouchdowns","Receptions","ReceivingTargets","ReceivingYards","ReceptionPercentage","ReceivingTouchdowns","ReceivingLong","ReceivingYardsPerTarget","ReceivingYardsPerReception","Fumbles","FumblesLost","FieldGoalsMade","FieldGoalsAttempted","FieldGoalPercentage","FieldGoalsLongestMade","ExtraPointsMade","ExtraPointsAttempted","TacklesForLoss","Sacks","QuarterbackHits","Interceptions","FumblesRecovered","Safeties","DefensiveTouchdowns","SpecialTeamsTouchdowns","SoloTackles","AssistedTackles","SackYards","PassesDefended","FumblesForced","FantasyPoints","FantasyPointsPPR","FantasyPointsFanDuel","FantasyPointsYahoo","FantasyPointsFantasyDraft","FantasyPointsDraftKings","FantasyPointsHalfPointPpr","FantasyPointsSixPointPassTd","FantasyPointsPerGame","FantasyPointsPerGamePPR","FantasyPointsPerGameFanDuel","FantasyPointsPerGameYahoo","FantasyPointsPerGameDraftKings","FantasyPointsPerGameHalfPointPPR","FantasyPointsPerGameSixPointPassTd","FantasyPointsPerGameFantasyDraft","PlayerUrlString","GameStatus","GameStatusClass","TotalTackles","Name","ShortName","FirstName","LastName","FantasyPosition","Position","TeamUrlString","Team","IsScrambled","Rank","StaticRank","IsFavorite","PointsAllowedByDefenseSpecialTeams"
"1873",14688,2017,1,0,11,"GB",FALSE,FALSE,"W",0,23,"F","F",TRUE,"/Date(1511114400000)/","F (W) 0 - 23 @ GB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,11,11,11,11,11,11,0,11,11,11,0,"/nfl/justin-tucker-fantasy/14688","","",0,"Justin Tucker","J. Tucker","Justin","Tucker","K","K","/nfl/team-details/BAL","BAL",FALSE,1798,0,FALSE,NA
"1874",18332,2017,1,0,11,"MIA",FALSE,FALSE,"W",20,30,"F","F",TRUE,"/Date(1511114400000)/","F (W) 20 - 30 @ MIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/ryan-smith-fantasy/18332","O","gamestatus_red",5,"Ryan Smith","R. Smith","Ryan","Smith","DB","CB","/nfl/team-details/TB","TB",FALSE,1798,0,FALSE,NA
"1875",18915,2017,1,0,11,"SEA",FALSE,FALSE,"W",31,34,"F","F",TRUE,"/Date(1511227800000)/","F (W) 31 - 34 @ SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,10,0,1,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/takk-mckinley-fantasy/18915","","",2,"Takk McKinley","T. McKinley","Takk","McKinley","DL","DE","/nfl/team-details/ATL","ATL",FALSE,1798,0,FALSE,NA
"1876",75,2017,1,1,11,"KC",FALSE,TRUE,"W",12,9,"F/OT","F/OT",TRUE,"/Date(1511114400000)/","F/OT (W) 12 - 9 vs. KC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0,64,29,1,5,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"/nfl/team-details/NYG","","",93,"New York Giants","Giants","New York","Giants","DST","DST","/nfl/team-details/NYG","NYG",FALSE,1798,0,FALSE,9
"1877",14412,2017,1,1,12,"WAS",FALSE,FALSE,"L",20,10,"F","F",TRUE,"/Date(1511487000000)/","F (L) 20 - 10 @ WAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/janoris-jenkins-fantasy/14412","","",0,"Janoris Jenkins","J. Jenkins","Janoris","Jenkins","DB","CB","/nfl/team-details/NYG","NYG",FALSE,1798,0,FALSE,NA
"1878",15226,2017,1,1,12,"JAX",FALSE,TRUE,"W",27,24,"F","F",TRUE,"/Date(1511731500000)/","F (W) 27 - 24 vs. JAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,3,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/tyrann-mathieu-fantasy/15226","","",4,"Tyrann Mathieu","T. Mathieu","Tyrann","Mathieu","DB","SS","/nfl/team-details/ARI","ARI",FALSE,1798,0,FALSE,NA
"1879",15242,2017,1,1,12,"SEA",FALSE,TRUE,"L",13,24,"F","F",TRUE,"/Date(1511730300000)/","F (L) 13 - 24 vs. SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/eric-reid-fantasy/15242","Q","gamestatus_yellow",7,"Eric Reid","E. Reid","Eric","Reid","DB","SS","/nfl/team-details/SF","SF",FALSE,1798,0,FALSE,NA
"1880",34,2017,1,1,12,"IND",FALSE,FALSE,"W",16,20,"F","F",TRUE,"/Date(1511719200000)/","F (W) 16 - 20 @ IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,0,1,0,0,0,35,26,31,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"/nfl/team-details/TEN","","",61,"Tennessee Titans","Titans","Tennessee","Titans","DST","DST","/nfl/team-details/TEN","TEN",FALSE,1798,0,FALSE,16
"1881",52,2017,1,1,12,"ARI",FALSE,FALSE,"L",27,24,"F","F",TRUE,"/Date(1511731500000)/","F (L) 27 - 24 @ ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,1,0,55,6,5,7,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"/nfl/team-details/JAX","","",61,"Jacksonville Jaguars","Jaguars","Jacksonville","Jaguars","DST","DST","/nfl/team-details/JAX","JAX",FALSE,1798,0,FALSE,27
"1882",15079,2017,1,1,14,"ATL",FALSE,FALSE,"L",20,17,"F","F",TRUE,"/Date(1512696300000)/","F (L) 20 - 17 @ ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,2,0,0,0,11,11,0,0,0,0,11,11,11,11,0,0,0,11,11,0,"/nfl/manti-teo-fantasy/15079","","",10,"Manti Te'o","M. Te'o","Manti","Te'o","LB","ILB","/nfl/team-details/NO","NO",FALSE,1798,0,FALSE,NA
